"name.common.worktable"|"spec"|"Exploited"|"general.taxonomic.group"|"Specific.taxonomic.group"|"habitat.horizontal"|"habitat.vertical"|"habitat.specific"|"depth"|"temperature"|"diet"|"mat.age.yr"|"mat.len.cm"|"size.max.len.cm"|"size.max.mass.kg"|"age.max.yr"|"fecundity.eggs.per.female"|"observations.of.interest"|"Needs.more.work"|"Notes"|"end"
"Paroediceros"|2842||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Paroediceros Longimanus"|2884||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Paroediceros Lynceus"|2882||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Paroediceros Propinguis"|2883||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Oedicerotidae"|2880||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Pardalisca Cuspidata"|2791||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Pardalisca Tenuipes"|2792||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Pardalisca"|2790||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Pardaliscidae"|2806||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Haustoriidae"|2894||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Harpinia Crenulata"|2862||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Harpinia Propinqua"|2849||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Harpinia"|2852||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Phoxocephalus Holbolli"|2853||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Phoxocephalus"|2854||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Phoxocephalidae"|2845||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Pontogeneiidae"|2865||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Priscillina Armata"|2895||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Stenothoe Brevicornis"|2815||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Syrrhoe Crenulata"|2877||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Syrrhoe"|2851||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Tiron"|2828||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Tironidae, Synopiidae"|2850||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Rachotropis Oculata"|2887|||||"benthic"||"0;461"||||||||||||"XXXXX"
"White, Gammarid"|2819||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Amphipod"|2801||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Amphipod"|2802||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Hyperia"|2810||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Big-Eyed Amphipod"|2903||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Parathemisto"|2809||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Parathemisto Compressa"|2904||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Parathemisto Gaudichaudi"|2941||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Parathemisto Oblivia"|2907||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Hyperiidae"|2906||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Phronima"|2946||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Hyperiidea S.O."|2905||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Amphipoda"|2800||"invertebrate"|"Amphipod"||||||||||||||||"XXXXX"
"Leptocuma Minor"|2974||"invertebrate"|"Shrimp (hooded)"||||||||||||||||"XXXXX"
"Eudorella Emarginata"|2976||"invertebrate"|"Shrimp (hooded)"||||||||||||||||"XXXXX"
"Eudorella Pusilla"|2979||"invertebrate"|"Shrimp (hooded)"||||||||||||||||"XXXXX"
"Eudorella Truncatula"|2966||"invertebrate"|"Shrimp (hooded)"||||||||||||||||"XXXXX"
"Eudorella"|2965||"invertebrate"|"Shrimp (hooded)"||||||||||||||||"XXXXX"
"Eudorellopsis Biplicata"|2962||"invertebrate"|"Shrimp (hooded)"||||||||||||||||"XXXXX"
"Eudorellopsis Integra"|2963||"invertebrate"|"Shrimp (hooded)"||||||||||||||||"XXXXX"
"Leucon Nasicoides"|2975||"invertebrate"|"Shrimp (hooded)"||||||||||||||||"XXXXX"
"Leuconidae"|2969||"invertebrate"|"Shrimp (hooded)"||||||||||||||||"XXXXX"
"Campylaspis"|2977||"invertebrate"|"Shrimp (hooded)"||||||||||||||||"XXXXX"
"Diastylis Polita"|2973||"invertebrate"|"Shrimp (hooded)"||||||||||||||||"XXXXX"
"Diastylis Quadrispinosa"|2978||"invertebrate"|"Shrimp (hooded)"||||"intertidal;400"|||||1.1|||||||"XXXXX"
"Diastylis Rathkei"|2972||"invertebrate"|"Shrimp (hooded)"||||||||||||||||"XXXXX"
"Diastylis"|2971||"invertebrate"|"Shrimp (hooded)"||||||||||||||||"XXXXX"
"Cumacea"|2970||"invertebrate"|"Shrimp (hooded)"||||||||||||||||"XXXXX"
"Anthuridea"|3050||"invertebrate"|"Isopod"||||||||||||||||"XXXXX"
"Little Shore Isopod"|2994||"invertebrate"|"Isopod"||||||||||||||||"XXXXX"
"Janira Alta"|2950||"invertebrate"|"Isopod"||||||||||||||||"XXXXX"
"Munnopsis Typica"|2986||"invertebrate"|"Isopod"||||||||||||||||"XXXXX"
"Anthuridae"|3051||"invertebrate"|"Isopod"||||||||||||||||"XXXXX"
"Isopod"|2999||"invertebrate"|"Isopod"||||||||||||||||"XXXXX"
"Bopyroides Hippolytes"|2988||"invertebrate"|"Isopod"||||||||||||||||"XXXXX"
"Phryxus Abdominalis"|2987||"invertebrate"|"Isopod"||||||||||||||||"XXXXX"
"Cirolana Polita"|2998||"invertebrate"|"Isopod"||||||||||||||||"XXXXX"
"Cirolana"|2968||"invertebrate"|"Isopod"||||||||||||||||"XXXXX"
"Cirolanidae"|2991||"invertebrate"|"Isopod"||||||||||||||||"XXXXX"
"Aega Psora"|2981||"invertebrate"|"Isopod"||||||||||||||||"XXXXX"
"Aegidae"|3030||"invertebrate"|"Isopod"||||||||||||||||"XXXXX"
"Gnathia Cerina"|2993||"invertebrate"|"Isopod"||||||||||||||||"XXXXX"
"Chiridotea Tuftsi"|2984||"invertebrate"|"Isopod"||||||||||||||||"XXXXX"
"Chiridotea"|2997||"invertebrate"|"Isopod"||||||||||||||||"XXXXX"
"Brown Isopod"|2989||"invertebrate"|"Isopod"||||||||||||||||"XXXXX"
"Synidotea Nodulosa"|2985||"invertebrate"|"Isopod"||||||||||||||||"XXXXX"
"Idotea Baltica"|2982||"invertebrate"|"Isopod"||||"subtidal;200"|||||3|||||||"XXXXX"
"Idotea Phosphorea"|2983||"invertebrate"|"Isopod"||||"1;60"|||||2|||||||"XXXXX"
"Idotea"|2996||"invertebrate"|"Isopod"||||||||||||||||"XXXXX"
"Idoteidae"|2992||"invertebrate"|"Isopod"||||||||||||||||"XXXXX"
"Red Isopod"|2824||"invertebrate"|"Isopod"||||||||||||||||"XXXXX"
"Isopoda"|2980||"invertebrate"|"Isopod"||||||||||||||||"XXXXX"
"Mysis Gaspensis"|2713||"invertebrate"|"Mysid shrimp"|||||"0;3"|"benthivore/planktivore/detritus"|||3|||||||"XXXXX"
"Mysis Mixta"|2712||"invertebrate"|"Mysid shrimp"||"pelagic"|"seaweed-free bottom"||||||2.5|||||||"XXXXX"
"Mysis Oculata"|2714||"invertebrate"|"Mysid shrimp"||"pelagic"|||||||2.12|||||||"XXXXX"
"Mysis Stenolepis"|2711||"invertebrate"|"Mysid shrimp"|||||||||2.5|||||||"XXXXX"
"Mysis"|2710||"invertebrate"|"Mysid shrimp"||||||||||||||||"XXXXX"
"Boreomysis Tridens"|2735||"invertebrate"|"Mysid shrimp"||||||||||||||||"XXXXX"
"Erythrops Erythropthalma"|2731||"invertebrate"|"Mysid shrimp"||||||||||||||||"XXXXX"
"Meterythrops Robustus"|2732||"invertebrate"|"Mysid shrimp"||||||||||||||||"XXXXX"
"Neomysis Americana"|2734||"invertebrate"|"Mysid shrimp"||||||||||||||||"XXXXX"
"Pseudomma Affine"|2721||"invertebrate"|"Mysid shrimp"||||||||||||||||"XXXXX"
"Pseudomma Truncatum"|2722||"invertebrate"|"Mysid shrimp"||||||||||||||||"XXXXX"
"Stilomysis Grandis"|2733||"invertebrate"|"Mysid shrimp"||||||||||||||||"XXXXX"
"Mysidae"|2715||"invertebrate"|"Mysid shrimp"||||||||||||||||"XXXXX"
"Tanaidae"|2940||"invertebrate"|||||||||||||||||"XXXXX"
"Nebalia Shrimp"|2960||"invertebrate"|||||||||||||||||"XXXXX"
"Nebalia"|2961||"invertebrate"|||||||||||||||||"XXXXX"
"Copepods More Than 3 Mm"|2901||"invertebrate"|"Copepod"||||||||||||||5||"XXXXX"
"Acartia Longiremis"|2923||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Aetideus Armatus"|2942||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Euchirella"|2922||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Calanus Finmarchicus"|2911||"invertebrate"|"Copepod"|"inshore;open ocean"|"pelagic"|"pelagic:vertical migrations. Feed at surface at night. Coastal"|"0;500"|"temperate;Arctic"|"planktivore:diatoms;phytoplankton;protozoans"|||0.54||||"One of the most abundant copepods in North Atlantic.  Preyed on by many commercial fish species."|||"XXXXX"
"Calanus Hyperboreus"|2912||"invertebrate"|"Copepod"||"pelagic"|"pelagic:vertical migrations"|||"planktivore:diatoms;phytoplankton;protozoans"|||||3|||||"XXXXX"
"Calanus"|2910||"invertebrate"|"Copepod"||"pelagic"|"pelagic:vertical migrations"|||"planktivore:diatoms;phytoplankton;protozoans"||||||||||"XXXXX"
"Pseudocalanus Elongatus"|2918||"invertebrate"|"Copepod"||"pelagic"||||||||||||||"XXXXX"
"Pseudocalanus"|2917||"invertebrate"|"Copepod"||"pelagic"||||||||||||||"XXXXX"
"Candacia Armata"|2915||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Candacia"|2913||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Centropages Bradyi"|2916||"invertebrate"|"Copepod"||||||"planktivore:diatoms;phytoplankton;protozoans"||||||||||"XXXXX"
"Centropages Typicus"|2935||"invertebrate"|"Copepod"||||||"planktivore:diatoms;phytoplankton;protozoans"||||||||||"XXXXX"
"Centropages"|2914||"invertebrate"|"Copepod"||||||"planktivore:diatoms;phytoplankton;protozoans"||||||||||"XXXXX"
"Clausocalanus"|2899||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Microcalanus Pusillus"|2937||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Euchaeta Norvegica"|2921||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Metridia Longa"|2925||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Metridia Lucens"|2924||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Metridia"|2933||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Pleuromamma"|2926||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Paracalanus (calanoid copepod genus)"|2909||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Paracalanus Parvus"|2934||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Paracalanus"|2932||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Temora Longicornis"|2936||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Tempora"|2919||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Calanoida"|2939||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Clavella"|2931||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Oithona Similis"|2928||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Oithona Spinirostris"|2930||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Oithona"|2920||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Lernaeocera Branchialis"|2929||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Cyclopoida"|2945||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Lilljeborgia"|2843||"invertebrate"|"Copopod"||||||||||||||||"XXXXX"
"Copepod"|2908||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Caligus"|2943||"invertebrate"|"Copepod"|||||||||||||"Parasitic"|||"XXXXX"
"Sphyrion Lumpi"|2927||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Copepoda Nauplii "|2938||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Copepoda"|2900||"invertebrate"|"Copepod"||||||||||||||||"XXXXX"
"Copepods 3 Mm Or Less"|2902||"invertebrate"|"Copepod"||||||||||||||5||"XXXXX"
"Balanidae"|2995||"invertebrate"|"Barnacles"|||||||||||||||"http://en.wikipedia.org/wiki/Balanidae"|"XXXXX"
"Barnacles"|2990||"invertebrate"|"Barnacles"|||||||||||||||"http://en.wikipedia.org/wiki/Barnacle"|"XXXXX"
"Ostracoda"|2650||"invertebrate"|||||||||||||||||"XXXXX"
"Crustacea"|2000||"invertebrate"|||||||||||||||||"XXXXX"
"Crustacea"|2001||"invertebrate"|||||||||||||||||"XXXXX"
"Anurida Maritima"|2896||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Diptera"|9406||"invertebrate"|"Diptera"||||||||||||||||"XXXXX"
"Land Insects"|9405||"invertebrate"|"Insect"||||||||||||||||"XXXXX"
"Herring/Mackeral/Salmon Worm"|"new species"||"invertebrate"|"worm (parasitic nematode)"|||||||||2|||||||"XXXXX"
"Cod Worm"|7101||"invertebrate"|"worm"|||||||||4|||||||"XXXXX"
"Anisakis"|7116||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Contracaecum"|7113||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Porrocaecum Decipiens"|7111||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Porrocaecum"|7110||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Nematoda"|7100||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Priapulida"|3450||"invertebrate"|"Worm"|||||||||"0.5;20"|||||||"XXXXX"
"Echiurus Echiurus, Spoon Worm"|3311||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Echiuridae"|3340||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Aquatic Earthworms (Class Oligochaeta)"|3175||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Dorvilleidae"|3090||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Sea Mouse"|3200||"invertebrate"|"Worm"||"benthic"|"benthic:mud"|"1;2000"||"benthivore:Nereis;polychaetes"|||22.5|||||||"XXXXX"
"Aphrodita"|3212||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Aphrodita aculeata"|3211||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Aphroditidae"|3210||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Nereis Grayi"|3132||"invertebrate"|"Worm"||"benthic"|"benthic:with bamboo worms"|"shallow"|||||5.9|||||||"XXXXX"
"Eunice Pennata"|3109||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Blood Worm"|3551||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Blood Worms"|3550||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Goniada Maculata"|3120||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Goniada Norvegica"|3127||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Chevron Worms"|3121||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Goniadidae"|3124||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Hesionidae"|3195||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Lumbrineris Fragilis"|3122||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Lumbrineris Latreilli"|3123||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Lumbrineris Tenuis"|3118||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Lumbrineris"|3103||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Ninoe Nigripes"|3119||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Lumbrinereidae, Lumbrineridae"|3117||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Aglaophamus Circinata"|3181||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Nephtys Bucera"|3182||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Nephtys Caeca"|3184||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Nephtys Incisa"|3183||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Nephtys"|3104||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Opal Worm"|3116||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Opal Worm"|3188||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Nothria Conchylega"|3166||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Onuphidae"|3460||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Paddle Worm"|3087||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Paddle Worm"|3086||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Paddle Worm"|3113||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Paddle Worms"|3112||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Phyllodoce Groenlandica, Paddle Worm"|3111||"invertebrate"|"Worm"||"benthic"||||||||||||||"XXXXX"
"Phyllodoce Maculata, Paddle Worm"|3088||"invertebrate"|"Worm"||"benthic"|||||||||||"Anaitides maculata"|||"XXXXX"
"Phyllodoce Mucosa, Paddle Worm"|3089||"invertebrate"|"Worm"||"benthic"||||||||||||||"XXXXX"
"Phyllodoce"|3110||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Gattyana"|3502||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Harmothoe Extenuata"|3505||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Harmothoe Imbricata"|3504||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Harmothoe"|3503||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Lepidonotus Squamatus"|3501||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Polynoidae"|3500||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Exogone Verugera"|3128||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Exogone"|3187||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Syllidae"|3126||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Tomopteridae"|3134||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Spionida"|3164||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Capitellidae"|3133||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Leiochone"|3163||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Nicomache Canadensis"|3125||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Praxillella"|3145||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Rhodine"|3141||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Filament Tube Worm"|3143||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Ophelia Acuminuta"|3157||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Ophelia Limancia"|3156||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Ophelia"|3159||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Travisia Carnea"|3179||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Opheliidae"|3153||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Orbiniid Worms"|3167||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Orbiniidae"|3270||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Paraonis Lyra"|3169||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Scalibregma Inflatum"|3152||"invertebrate"|"Worm"||||"0;2600"|||||10|||||||"XXXXX"
"Lugworm"|3161||"invertebrate"|"Worm"||"benthic"|"benthic:burrows in sand;gravel"|"lower intertidal;40"|||||20|||||||"XXXXX"
"Ampharete Finmarchica"|3177||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Ampharete"|3176||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Anobothrus Gracilis"|3155||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Ampharetid Worm"|3137||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Samytha Sexcirrata"|3154||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Ampharetidae"|3146||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Apistobranchidae"|3158||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Cirratulidae"|3280||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Flabelligerid Worms"|3186||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Flabelligerid Worms"|3172||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Flabelligerid Worm"|3174||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Flabelligerid Worm"|3178||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Flabelligerid Worm"|3171||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Flabelligerid Worms"|3173||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Flabelligerida"|3170||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Owenia Fusiformis"|3196||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Oweniidae"|3194||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Trumpet Worm"|3142||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Pectinaria Granulata"|3149||"invertebrate"|"Worm"||"benthic"|"benthic:tidepools;under rocks;mussel beds"|"intertidal;50"|||||5.2||||"Builds a tube of course sand grains"|||"XXXXX"
"Pectinaria"|3144||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Pectinariidae"|3139||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Chone Duneri"|3168||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Chone"|3221||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Euchone"|3222||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Fan Worm"|3147||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Potamilla Reniformis"|3136||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Sabella"|3140||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Spirorbis"|2535||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Sternaspis Scutata"|3165||"invertebrate"|"Worm"||"benthic"|"benthic:mud"|"subtidal"|||||3|||||||"XXXXX"
"Sternaspis"|3105||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Streblosoma Spiralis"|3197||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Thelepus Cincinnatus"|3191||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Arabellid Thread Worm"|3108||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Arabellidae"|3107||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Eunicidae"|3085||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Aricidea"|3162||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Glyceridae"|3230||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Nephtyidfae"|3115||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Nereis Pelagica"|3131||"invertebrate"|"Worm"|||"algae;pilings;bouys"|"lower intertidal;1200"|||||15.5|||||||"XXXXX"
"Nereis Zonata"|3135||"invertebrate"|"Worm"||"benthic"|"Arctic"|"deep"||||||||||||"XXXXX"
"Nereis"|3130||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Nereidae"|3150||"invertebrate"|"Worm"||"benthic"||||||||||||||"XXXXX"
"Terebellid Worm"|3192||"invertebrate"|"Worm"||||||"deposit feeder"||||||||||"XXXXX"
"Terebellid Worm"|3193||"invertebrate"|"Worm"||||||"deposit feeder"||||||||||"XXXXX"
"Terebellid Worm"|3148||"invertebrate"|"Worm"||||||"deposit feeder"||||||||||"XXXXX"
"Terebellidae"|3160||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Terebellides Stroemi"|3151||"invertebrate"|"Worm"||"benthic"|"benthic:sand;mud"|"20;200"|||||8||||"Lives in a sand/mud tube"|||"XXXXX"
"Terebellida"|3189||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Phyllodocidae"|3114||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Sabellidae"|3138||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Bristle Worms"|3100||"invertebrate"|"Worm"||||||||||||||5||"XXXXX"
"Large Polychaete"|3101||"invertebrate"|"Worm"||||||||||||||5||"XXXXX"
"Small Polychaete.3Mm Dia"|3102||"invertebrate"|"Worm"||||||||||||||5||"XXXXX"
"Polychaeta Larvae"|3106||"invertebrate"|"Worm"||||||||||||||5||"XXXXX"
"Segmented Worms (Phylum Annelida)"|3000||"invertebrate"|"Worm"||||||||||||||||"XXXXX"
"Rhynchonella"|1931|||||||||||||||||||"XXXXX"
"Terebratulina, Lamp Shell"|1932|||||"benthic"|"benthic:attaches to solid surfaces such as rocks;algae stems;worm tubes"|"lower intertidal;3475"|||||3.2|||||||"XXXXX"
"Lampshells"|1930||"invertebrate"|||||||||||||||||"XXXXX"
"Bryozoans (same as Ectoprocta)"|1900||"invertebrate"|||||||||||||||||"XXXXX"
"Spoon worms (Echiurida)"|3330||"invertebrate"|||||||||||||||||"XXXXX"
"Ectoprocta (or Bryozoa; Moss animals)"|1920||"invertebrate"|||||||||||||||||"XXXXX"
"Entoprocta P."|1910||"invertebrate"|"bryozoa-like"|||||||||1|||||||"XXXXX"
"Chaetoderma"|4720||"invertebrate"|"Mollusc"||||||||||||||||"XXXXX"
"Pandora gouldiana"|4305||"invertebrate"|"Mollusc"||||||||||||||||"XXXXX"
"Thraciidae"|3180||"invertebrate"|"Mollusc"||||||||||||||||"XXXXX"
"Glacier Dipper Shell"|4306||"invertebrate"|"Mollusc"||||||||||||||||"XXXXX"
"Morrhua Venus"|4314||"invertebrate"|"clam (Venus)"||||||||||||||||"XXXXX"
"Bank Clam, Northern Propeller Clam"|4312||"invertebrate"|"Clam"|||||||||10|||||||"XXXXX"
"Cyrtodaria, Propeller Clam"|4327||"invertebrate"|"Clam"||||||||||||||||"XXXXX"
"Soft Shell Or Long Neck Clam"|4319||"invertebrate"|"Clam"||"benthic"|"benthic:under rocks;among mussels;sand;mud;clay;algal holdfasts"|"0;185"|||||5|||||||"XXXXX"
"Soft Shell (Sand Gaper) Clam"|4318|"yes"|"invertebrate"|"Clam"|"inshore"|"benthic"|"benthic:burrows in sand;mud;gravel"|"0;75"|"6;14"||||15||||"Preyed on by birds, fish, snails, green crab, starfish, and humans"|||"XXXXX"
"Mya Truncata, Truncate Soft Shell Clam"|4309||"invertebrate"|"Clam"|||"sand;mud;gravel"|"0;75"|||||7.5|||||||"XXXXX"
"Ocean Quahaug"|4304||"invertebrate"|"Mollusc"||"benthic"|"benthic:fine sand"|"1;300"|"?;16"||"8(males);11(females)"|5.5|11|||||||"XXXXX"
