"name.common.worktable"|"spec"|"Exploited"|"general.taxonomic.group"|"Specific.taxonomic.group"|"habitat.horizontal"|"habitat.vertical"|"habitat.specific"|"depth"|"temperature"|"diet"|"mat.age.yr"|"mat.len.cm"|"size.max.len.cm"|"size.max.mass.kg"|"age.max.yr"|"fecundity.eggs.per.female"|"observations.of.interest"|"Needs.more.work"|"Notes"|"end"
"Greater Amberjack"|92||"fish"|"jacks"|"oceanodromous"||"reef associated"|"1;360"|"subtropical"|"piscivore:Selar crumenophthalmus"|||190|80.6||||||"XXXXX"
"Banded Rudderfish"|74||"fish"|"jacks"|"inshore;shelf"|"benthopelagic"|||"subtropical"|"piscivore/benthivore:fish;shrimp"|||75|5.2||||||"XXXXX"
"Amberjacks"|257||"fish"|"jacks"||||||||||||||||"XXXXX"
"Common Pompano, Florida Pompano"|261||"fish"|"jacks"|"inshore"|"benthopelagic"|"bays;estuaries;sandy beaches;waves"|"?;70"|"subtropical"|"?/piscivore:molluscs;crustaceans;invertebrates;small fish"|||64|3.76||||||"XXXXX"
"Permit, Snubnose Pompano"|944||"fish"|"jacks"|"inshore"||"rocky reefs;coral reefs;Pacific"|"?;7"|"tropical"|"benthivore:sand mollusks;hard-shelled invertebrates"|||110|3.4|||"Trachinotus blochii"|||"XXXXX"
"Rough Scad"|269||"fish"|"jacks"|"inshore;shelf"|"pelagic;demersal"|"reef associated"|"30;90"|"subtropical"|"invertebrates"|||40|0.5||||||"XXXXX"
"Atlantic Horse Mackerel"|93||"fish"|"jacks"|"inshore"|"pelagic"|"sand"|"0;1050"|"subtropical"|"piscivore:fish;crustaceans;cephalopods"|||70|2||140,000||||"XXXXX"
"Trachurus"|994||"fish"|"jacks"||||||||||||||||"XXXXX"
"Atlantic Moonfish"|94||"fish"|"jacks"|"inshore"|"benthopelagic"||"?;55"|"subtropical"|"small fish;crustaceans"|||60|4.6|||"AKA Selene setapinnis"|||"XXXXX"
"Jack"|174||"fish"|"jacks"||||||||||||||||"XXXXX"
"Greenland Manefish"|97||"fish"|"manefish"||||||||||||||||"XXXXX"
"Black Ruff"|787||"fish"|||||||||||||||||"XXXXX"
"American Barrelfish"|743||"fish"|||||||||||||||||"XXXXX"
"Cornish Blackfish"|786||"fish"|||"pelagic"|||"subtropical"|"medusae;ctenophores"|||51|||||||"XXXXX"
"Spotfin Butterflyfish"|107|"no"|"fish"|"butterflyfishes"|||||||||||||"Doesn't typically stray this far north"|||"XXXXX"
"Chaetodon"|578||"fish"|"butterflyfishes"||||||||||||||||"XXXXX"
"Butterflyfishes"|328||"fish"|"butterflyfishes"||||||||||||||||"XXXXX"
"Chiasmodon Bolangeri"|887||"fish"|||"bathydemersal"|||||||25|||||||"XXXXX"
"Black Swallower"|39|"no"|"fish"|||"bathypelagic"||"?;1500"|||||25|||||||"XXXXX"
"Chiasmodon"|909||"fish"|||||||||||||||||"XXXXX"
"Dysalotus Alcocki"|993||"fish"|||||||||||||||||"XXXXX"
"Swallowers"|38||"fish"|||||||||||||||||"XXXXX"
"Swallowers"|971||"fish"|||||||||||||||||"XXXXX"
"Pompano Dolphinfish"|585||"fish"|"dolphinfishes"||||||||||||||||"XXXXX"
"Common Dolphinfish"|747||"fish"|"dolphinfishes"||||||||||||||||"XXXXX"
"Wrymouth"|630||"fish"|||||||||||||||||"XXXXX"
"Draconetta Acanthopoma"|496||"fish"|||||||||||||||||"XXXXX"
"Sharksucker"|82||"fish"|"remoras"||||||||||||||||"XXXXX"
"Spearfish Remora"|83||"fish"|"remoras"||||||||||||||||"XXXXX"
"Remora"|84||"fish"|"remoras"||||||||||||||||"XXXXX"
